Transaction_ID,Date,Drug_Name,Batch_Number,Qty_Sold,MRP_Unit_Price,Total_Amount
TXN-10001,2023-01-06,Dolo 650,DOL-2301-95,9,30,270
TXN-10002,2023-01-06,Glycomet 500,,5,22.5,112.5
TXN-10003,2023-01-06,Glycomet 500,GLY-2301-13,2,22.5,45
TXN-10004,2023-01-06,Azithral 500,AZI-2301-67,9,118.5,1066.5
TXN-10005,2023-01-06,Dolo 650,DOL-2301-95,6,30,180
TXN-10006,2023-01-06,Allegra 120,ALL-2301-79,3,198,594
TXN-10007,2023-01-07,Azithral 500,AZI-2301-67,4,118.5,474
TXN-10008,2023-01-07,Telma 40,,3,220,660
TXN-10009,2023-01-07,Dolo 650,DOL-2301-95,5,30,150
TXN-10010,2023-01-07,Allegra 120,ALL-2301-79,3,198,594
TXN-10011,2023-01-07,Dolo 650,DOL-2301-95,9,300,270
TXN-10012,2023-01-07,Allegra 120,ALL-2301-79,5,198,990
TXN-10013,2023-01-07,Allegra 120,ALL-2301-79,2,198,396
TXN-10014,2023-01-07,Glycomet 500,,1,22.5,22.5
TXN-10015,2023-01-07,Dolo 650,DOL-2301-95,8,30,240
TXN-10016,2023-01-07,Pan 40,PAN-2301-58,2,155,310
TXN-10017,2023-01-07,Pan 40,PAN-2301-58,4,155,620
TXN-10018,2023-01-07,Glycomet 500,GLY-2301-13,1,22.5,22.5
TXN-10019,2023-01-07,Pan 40,PAN-2301-58,5,155,775
TXN-10020,2023-01-07,Telma 40,TEL-2301-80,2,220,440
TXN-10021,2023-01-08,Dolo 650,DOL-2301-95,4,30,120
TXN-10022,2023-01-08,Telma 40,TEL-2301-80,1,220,220
TXN-10023,2023-01-01,Dolo 650,DOL-2301-95,6,30,180
TXN-10024,2023-01-08,Glycomet 500,GLY-2301-13,3,22.5,67.5
TXN-10025,2023-01-08,Allegra 120,ALL-2301-79,4,198,792
TXN-10026,2023-01-08,Azithral 500,AZI-2301-67,5,118.5,592.5
TXN-10027,2023-01-08,Pan 40,PAN-2301-58,3,155,465
TXN-10028,2023-01-08,Dolo 650,DOL-2301-95,6,30,180
TXN-10029,2023-01-08,Allegra 120,ALL-2301-79,5,198,990
TXN-10030,2023-01-08,Glycomet 500,GLY-2301-13,2,22.5,45
TXN-10031,2023-01-08,Glycomet 500,GLY-2301-13,4,22.5,90
TXN-10032,2023-01-09,Glycomet 500,GLY-2301-13,5,22.5,112.5
TXN-10033,2023-01-09,Azithral 500,AZI-2301-67,6,118.5,711
TXN-10034,2023-01-09,Telma 40,TEL-2301-80,3,220,660
TXN-10035,2023-01-09,Glycomet 500,GLY-2301-13,5,22.5,112.5
TXN-10036,2023-01-09,Pan 40,PAN-2301-58,5,155,775
TXN-10037,2023-01-09,Glycomet 500,,2,22.5,45
TXN-10038,2023-01-10,Azithral 500,AZI-2301-67,7,118.5,829.5
TXN-10039,2023-01-10,Pan 40,,3,155,465
TXN-10040,2023-01-10,Allegra 120,ALL-2301-79,3,198,594
TXN-10041,2023-01-10,Dolo 650,DOL-2301-95,8,30,240
TXN-10042,2023-01-10,Telma 40,TEL-2301-80,2,220,440
TXN-10043,2023-01-10,Azithral 500,AZI-2301-67,8,118.5,948
TXN-10044,2023-01-10,Allegra 120,ALL-2301-79,5,198,990
TXN-10045,2023-01-11,Allegra 120,ALL-2301-79,2,198,396
TXN-10046,2023-01-11,Allegra 120,ALL-2301-89,4,198,792
TXN-10047,2023-01-11,Glycomet 500,GLY-2301-13,2,22.5,45
TXN-10048,2023-01-11,Pan 40,PAN-2301-58,4,155,620
TXN-10049,2023-01-11,Pan 40,PAN-2301-58,3,155,465
TXN-10050,2023-01-11,Dolo 650,DOL-2301-50,5,30,150
TXN-10051,2023-01-11,Dolo 650,,8,30,240
TXN-10052,2023-01-11,Allegra 120,ALL-2301-89,5,198,990
TXN-10053,2023-01-12,Azithral 500,AZI-2301-61,6,118.5,711
TXN-10054,2023-01-12,Glycomet 500,GLY-2301-13,5,22.5,112.5
TXN-10055,2023-01-12,Pan 40,PAN-2301-29,1,155,155
TXN-10056,2023-01-12,Dolo 650,DOL-2301-95,7,30,210
TXN-10057,2023-01-12,Allegra 120,ALL-2301-79,4,198,792
TXN-10058,2023-01-12,Azithral 500,AZI-2301-67,9,118.5,1066.5
TXN-10059,2023-01-12,Allegra 120,ALL-2301-89,3,198,594
TXN-10060,2023-01-12,Allegra 120,ALL-2301-79,2,198,396
TXN-10061,2023-01-12,Azithral 500,AZI-2301-61,8,118.5,948
TXN-10062,2023-01-12,Allegra 120,ALL-2301-89,2,198,396
TXN-10063,2023-01-12,Telma 40,,3,220,660
TXN-10064,2023-01-12,Pan 40,PAN-2301-58,3,155,465
